Bachelor of Science;Mathematics and Computer Science;July 2009;Amirkabir University of Technology (Tehran Polytechnic);Tehran, Iran;Dariush Kiani;On the Existence of Nowhere-Zero Vectors for Linear Transformations;http://wcm.ucalgary.ca/k1monfared/files/k1monfared/2010-on-the-existence-of-nowhere-zero-vectors-for-linear-transformations-bams.pdf
Master of Science;Mathematics;December 2011;University of Wyoming;Laramie, WY, USA;Bryan L. Shader;On the Permanent Rank of Matrices;http://wcm.ucalgary.ca/k1monfared/files/k1monfared/2011-on-the-permanent-rank-of-matrices-keivan-hassani-monfared-masters-thesis-university-of-wyoming.pdf
Ph.D.;Mathematics;August 2014;University of Wyoming;Laramie, WY, USA;Bryan L. Shader;The Jacobian Method: The art of finding more needles in nearby haystacks;http://wcm.ucalgary.ca/k1monfared/files/k1monfared/2014-the-jacobian-method-the-art-of-find-more-neddles-in-nearby-haystacks-keivan-hassani-monfared-phd-dissertation-university-of-wyoming.pdf
